name,well_type,value,sigma_meas,sigma_pump,sigma_temp,sigma_tot
hmuni1,hmuni,1.28,0.0375,0.125,0.000244029,0.13050406
hmuni2,hmuni,1.3,0.0375,0.125,0.000234156,0.130504041
hmuni3,hmuni,1.63,0.0375,0.125,0.000280404,0.130504133
hmuni4,hmuni,2.52,0.0375,0.125,0.000331598,0.130504253
hmuni5,hmuni,1.22,0.0375,0.125,0.000204476,0.130503992
hmuni6,hmuni,1.33,0.0375,0.125,0.000136385,0.130503903
hmuni7,hmuni,1.35,0.0375,0.125,7.90E-05,0.130503855
hmuni8,hmuni,1.21,0.0375,0.125,0.000253901,0.130504078
hmuni9,hmuni,1.46,0.0375,0.125,0.000219231,0.130504016
hpz01,hdeep,2.14,0.19581462,0,0.000753673,0.19581607
hpz02,hdeep,1.97,0.158172458,0,0.000607289,0.158173624
hpz03,hdeep,1.59,0.124110061,0,0.00049655,0.124111055
hpz04,hdeep,1.58,0.118621234,0,0.000479504,0.118622203
hpz05,hdeep,1.73,0.157217602,0,0.00106397,0.157221202
hpz06,hshallow,1.08,0.0375,0,0.000544571,0.037503954
hpz07,hdeep,1.44,0.173600211,0,0.214516569,0.275960852
hpz08,hdeep,1.43,0.152786238,0,0.214516569,0.263364753
hpz09,hshallow,1.47,0.0375,0,0.214516569,0.217769623
hpz10,hshallow,1.43,0.0375,0,0.214516569,0.217769623
hpz11,hshallow,1.45,0.0375,0,0.003065882,0.03762512
