name,nameori,x,y,value,profile
zert01,GE01aR1,301250.06899999996,5268491.049,-13.7,1
zert02,GE01aR2,301294.669,5268427.701,-13.3,1
zert03,GE01aR3,301339.969,5268363.546,-29.9,1
zert04,GE01aR4,301390.769,5268302.801,-42.5,1
zert05,GE01aR5,301440.869,5268241.835,-50.4,1
zert06,GE01aR6,301496.369,5268184.438,-54.4,1
zert07,GE01aR7,301550.369,5268125.6389999995,-53.6,1
zert08,GE01bR1,301950.269,5267617.904,-76.6,1
zert09,GE01bR2,302023.669,5267586.775,-72.0,1
zert10,GE01bR3,302091.869,5267552.549,-74.9,1
zert11,GE01cR1,302177.169,5267309.551,-17.2,1
zert12,GE01cR2,302182.969,5267229.222,-18.7,1
zert13,GE02aR1,302561.277,5269047.2,-41.1,2
zert14,GE02aR2,302600.49100000004,5268977.7,-43.2,2
zert15,GE02aR3,302622.463,5268901.2,-44.4,2
zert16,GE02aR4,302633.208,5268822.1,-46.5,2
zert17,GE02aR5,302646.44800000003,5268743.4,-48.1,2
zert18,GE02aR6,302654.807,5268664.6,-70.4,2
zert19,GE02bR1,302770.442,5268466.1,-74.8,2
zert20,GE02bR2,302790.685,5268421.1,-61.3,2
zert21,GE02bR3,302801.748,5268338.4,-76.2,2
zert22,GE02cR1,302796.601,5268199.1,-78.3,2
zert23,GE02cR2,302788.594,5268155.5,-65.7,2
zert24,GE03aR1,303161.109,5269327.0,-25.3,3
zert25,GE03aR2,303205.42,5269260.5,-28.2,3
zert26,GE03aR3,303247.79,5269192.8,-33.3,3
zert27,GE03aR4,303287.757,5269123.9,-34.7,3
zert28,GE03aR5,303335.343,5269060.0,-38.5,3
zert29,GE03aR6,303378.978,5268993.1,-53.7,3
zert30,GE03aR7,303441.815,5268945.0,-53.6,3
zert31,GE03aR8,303483.902,5268880.5,-49.9,3
zert32,GE03aR9,303528.15,5268817.237,-46.9,3
zert33,GE03aR10,303598.95,5268794.544,-47.3,3
zert34,GE03aR11,303678.55,5268767.965,-48.4,3
zert35,GE03aR12,303726.05,5268706.38,-47.0,3
zert36,GE03aR13,303773.003,5268643.7,-40.5,3
zert37,GE03aR14,303780.321,5268564.5,-32.3,3
zert38,GE03aR15,303764.968,5268486.6,-25.8,3
zert39,GE04aR1,303878.502,5269909.2,-37.0,4
zert40,GE04aR2,303925.73600000003,5269846.2,-37.8,4
zert41,GE04aR3,303978.628,5269787.8,-38.0,4
zert42,GE04aR4,304027.939,5269727.9,-38.2,4
zert43,GE04aR5,304080.997,5269672.4,-39.7,4
zert44,GE04aR6,304134.22,5269613.5,-42.7,4
zert45,GE04aR7,304192.203,5269558.5,-46.5,4
zert46,GE04aR8,304231.235,5269490.2,-49.5,4
zert47,GE04aR9,304226.70399999997,5269415.2,-51.0,4
zert48,GE04aR10,304256.82,5269342.4,-51.2,4
zert49,GE04aR11,304281.596,5269267.7,-51.2,4
zert50,GE04aR12,304325.251,5269203.1,-51.7,4
zert51,GE04aR13,304396.93,5269180.2,-53.2,4
zert52,GE04aR14,304468.012,5269145.3,-54.3,4
zert53,GE04aR15,304538.086,5269109.5,-52.8,4
zert54,GE05aR1,304164.594,5270228.2760000015,-23.9,5
zert55,GE05aR2,304243.69399999996,5270233.801,-30.8,5
zert56,GE05aR3,304323.094,5270234.197,-30.9,5
zert57,GE05aR4,304396.294,5270208.932,-35.1,5
zert58,GE05aR5,304452.19399999996,5270159.416,-37.2,5
zert59,GE05aR6,304515.594,5270112.697,-42.5,5
zert60,GE05aR7,304564.794,5270088.177,-65.7,5
zert61,GE06aR1,302194.375,5268059.374,-69.5,6
zert62,GE06aR2,302221.375,5267988.2530000005,-70.7,6
zert63,GE06bR1,302344.575,5267719.511,-76.6,6
zert64,GE06bR2,302419.575,5267721.825,-77.3,6
zert65,GE06bR3,302475.075,5267665.796,-70.4,6
zert66,GE06bR4,302528.813,5267640.5,-10.6,6
zert67,GEFREDaR1,300863.656,5268199.0,-23.0,7
zert68,GEFREDaR2,300922.656,5268145.5,-20.3,7
zert69,GEFREDaR3,300979.375,5268090.0,-32.1,7
zert70,GEFREDaR4,301033.438,5268031.5,-39.5,7
zert71,GEFREDaR5,301074.031,5267962.5,-40.4,7
zert72,GEFREDaR6,301125.875,5267902.0,-40.6,7
zert73,GEFREDaR7,301179.438,5267843.0,-40.2,7
zert74,GEFREDaR8,301206.531,5267813.5,-56.5,7
zert75,GEGREaR1,301474.281,5268641.0,-25.1,8
zert76,GEGREaR2,301526.75,5268581.0,-29.6,8
zert77,GEGREaR3,301579.719,5268520.5,-29.2,8
zert78,GEGREaR4,301632.188,5268460.5,-31.7,8
zert79,GEGREaR5,301684.156,5268400.0,-59.9,8
zert80,GEMADaR1,300829.219,5268185.0,-11.8,9
zert81,GEMADaR2,300807.031,5268109.0,-34.1,9
zert82,GEMADaR3,300797.563,5268031.5,-36.1,9
zert83,GEMADaR4,300838.281,5267962.5,-38.2,9
zert84,GEMADaR5,300878.969,5267893.5,-38.2,9
zert85,GEMADaR6,300928.0,5267831.0,-35.9,9
zert86,GEMADaR7,300988.594,5267780.0,-33.8,9
zert87,GEMADaR8,301029.531,5267723.5,-47.7,9
