name,value
ztdem01,-25.013
ztdem02,-47.463
ztdem03,-46.883
ztdem05,-32.413
ztdem07,-16.763
ztdem08,-29.363
ztdem12,-40.953
ztdem14,-50.543
ztdem15,-49.253
ztdem17,-49.633
ztdem20,-31.113
ztdem21,-52.463
ztdem22,-50.553
ztdem23,-26.673
ztdem32,-42.433
ztdem33,-44.143
ztdem34,-48.973
ztdem35,-51.323
ztdem37,-69.243
ztdem41,-45.833
ztdem42,-61.053
ztdem43,-70.463
ztdem44,-33.793
ztdem45,-30.453
ztdem46,-38.133
ztdem47,-34.863
ztdem48,-43.503
ztdem49,-45.763
ztdem51,-52.313
ztdem52,-34.473
ztdem53,-41.733
ztdem54,-42.653
ztdem55,-40.103
ztdem56,-35.313
ztdem57,-36.013
ztdem58,-35.883
ztdem59,-51.883
ztdem61,-38.133
ztdem62,-34.473
ztdem63,-55.353
ztdem64,-46.833
ztdem65,-44.223
ztdem66,-52.533
ztdem67,-65.153
ztdem68,-23.933
ztdem69,-34.673
ztdem71,-47.183
ztdem74,-43.203
ztdem75,-34.373
ztdem80,-30.233
ztdem81,-31.273
ztdem82,-78.723
