name,nameori,well_type,value,sigma_meas,sigma_pump,sigma_temp,sigma_tot
hmuni1,FE0603,hmuni,1.28,0.0375,0.125,0.00024402925564168395,0.13050405951646718
hmuni2,FE0604,hmuni,1.3,0.0375,0.125,0.00023415572033320936,0.13050404142746447
hmuni3,FE0605,hmuni,1.63,0.0375,0.125,0.000280404073765426,0.13050413260293556
hmuni4,FE0606,hmuni,2.52,0.0375,0.125,0.00033159791443736734,0.1305042526401989
hmuni5,GE0901A,hmuni,1.22,0.0375,0.125,0.00020447645650774012,0.13050399155053177
hmuni6,GE0902,hmuni,1.33,0.0375,0.125,0.0001363854993196685,0.1305039026274863
hmuni7,GE0903,hmuni,1.35,0.0375,0.125,7.9001563064496e-05,0.13050385527350128
hmuni8,GE0904,hmuni,1.21,0.0375,0.125,0.0002539008060154976,0.13050407834860678
hmuni9,GE0905B,hmuni,1.46,0.0375,0.125,0.00021923051619217575,0.13050401550151333
hpz01,F1,hdeep,2.14,0.195814619560714,0.0,0.0007536729284820508,0.19581606996513407
hpz02,F2,hdeep,1.97,0.1581724578918602,0.0,0.0006072886536132222,0.15817362370212393
hpz03,F3,hdeep,1.59,0.1241100612883309,0.0,0.0004965503744446288,0.12411105460541222
hpz04,F4,hdeep,1.58,0.11862123357776361,0.0,0.00047950434965179423,0.11862220272753195
hpz05,Grande-Entree,hdeep,1.73,0.15721760168486879,0.0,0.0010639697147132238,0.15722120184980104
hpz06,GE0901B,hshallow,1.08,0.0375,0.0,0.0005445712688560137,0.03750395389644755
hpz07,PZ-FE0603,hdeep,1.44,0.17360021058227457,0.0,0.21451656934831123,0.2759608516423641
hpz08,PZ-GE0903,hdeep,1.43,0.15278623766972255,0.0,0.21451656934831123,0.26336475266488824
hpz09,GE0905A,hshallow,1.47,0.0375,0.0,0.21451656934831123,0.217769622594541
hpz10,FE0601-PZ,hshallow,1.43,0.0375,0.0,0.21451656934831123,0.217769622594541
hpz11,FP0607-PZ,hshallow,1.45,0.0375,0.0,0.00306588210943906,0.03762511970889898
