name,nameori,value
ztdem01,SE1,-25.013
ztdem02,SE2,-47.463
ztdem03,SE3,-46.883
ztdem05,SE5,-32.413000000000004
ztdem07,SE7,-16.762999999999998
ztdem08,SE8,-29.363000000000003
ztdem12,SE12,-40.953
ztdem14,SE14,-50.543
ztdem15,SE15,-49.253
ztdem17,SE17,-49.633
ztdem20,SE20,-31.113000000000003
ztdem21,SE21,-52.463
ztdem22,SE22,-50.553000000000004
ztdem23,SE23,-26.673
ztdem32,SE32,-42.433
ztdem33,SE33,-44.143
ztdem34,SE34,-48.973
ztdem35,SE35,-51.32299999999999
ztdem37,SE37,-69.243
ztdem41,SE41,-45.833
ztdem42,SE42,-61.053000000000004
ztdem43,SE43,-70.46300000000001
ztdem44,SE44,-33.793
ztdem45,SE45,-30.453000000000003
ztdem46,SE46,-38.133
ztdem47,SE47,-34.863
ztdem48,SE48,-43.503
ztdem49,SE49,-45.763000000000005
ztdem51,SE51,-52.313
ztdem52,SE52,-34.473
ztdem53,SE53,-41.733000000000004
ztdem54,SE54,-42.653
ztdem55,SE55,-40.103
ztdem56,SE56,-35.31299999999999
ztdem57,SE57,-36.013000000000005
ztdem58,SE58,-35.883
ztdem59,SE59,-51.883
ztdem61,SE61,-38.133
ztdem62,SE62,-34.473
ztdem63,SE63,-55.353
ztdem64,SE64,-46.833
ztdem65,SE65,-44.223
ztdem66,SE66,-52.533
ztdem67,SE67,-65.15299999999999
ztdem68,SE68,-23.933000000000003
ztdem69,SE69,-34.672999999999995
ztdem71,SE71,-47.183
ztdem74,SE74,-43.203
ztdem75,SE75,-34.373000000000005
ztdem80,SE80,-30.233
ztdem81,SE81,-31.273000000000003
ztdem82,SE82,-78.723
